pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3603064430131039464,DIAqAJkzkzo,https://www.instagram.com/p/DIAqAJkzkzo/,post,image,,2025-04-04T03:52:52Z,2025-04-04,14:52,Friday,2025-W14,2025-04,1068,12,42,0,,42,,"EASTER CAMP IS BACK MOMUIANS AND WE’RE GOING BIGGER THIS YEAR!! 🏕️🎇 hop into the upcoming easter break for 3 days as we bring you guys along to a brand new destination… PGL CAMPASPE DOWNS 🤩💫 special activities this year include the GIANT swing, ABSEIL 🧗 and FLYING fox 🦊   this is the perfect opportunity to make new friends and grow even closer to those you already know ❤️✨ so be sure to bring your friends along with u too!! (you’ll get a cheaper price) 😘🤍so what are you waiting for?? reset from the stress of uni over the Easter break with MoMU 🧘‍♀️🍃   Early bird prices are available now so get them while they lasts 🎟️💰  Details: 📆 Date: 25th to 27th April  📍 Location: PGL Campaspe Downs, 1320 Kyneton Trentham Rd, Tylden   Pricing 💴: 🟣PACKAGE OF 3: $165 🔴EARLY BIRD: $165 (till 6th April) 🔵STANDARD: $175 (7th till 13th April) 🟢LAST CALL: $185 (14th till 20th April)   🔗 LINK IN BIO TO SIGN UP NOW!! SEE U THERE 🤯🤯  #easter #eastercamp #retreat #unimelb #universityofmelbourne #malaysiansinmelbourne #momu #momuians #universitylife #explorepage #mso #uniclubs"
3603750914844415186,DIDGF0SSlTS,https://www.instagram.com/reel/DIDGF0SSlTS/,reel,video,,2025-04-05T02:36:47Z,2025-04-05,13:36,Saturday,2025-W14,2025-04,0,0,123,2,8862,125,0.0141,
3606163766434973437,DILqtbcPcb9,https://www.instagram.com/reel/DILqtbcPcb9/,reel,video,,2025-04-08T10:30:41Z,2025-04-08,20:30,Tuesday,2025-W15,2025-04,0,0,76,4,4209,80,0.019,
3606905885161037139,DIOTcrXSh1T,https://www.instagram.com/reel/DIOTcrXSh1T/,reel,video,,2025-04-09T11:05:09Z,2025-04-09,21:05,Wednesday,2025-W15,2025-04,0,0,93,8,6382,101,0.0158,
3608348646984670466,DITbfoBSF0C,https://www.instagram.com/reel/DITbfoBSF0C/,reel,video,,2025-04-11T10:51:39Z,2025-04-11,20:51,Friday,2025-W15,2025-04,0,0,90,1,9688,91,0.0094,
3609751076096228014,DIYaXp6TLqu,https://www.instagram.com/reel/DIYaXp6TLqu/,reel,video,,2025-04-13T09:18:02Z,2025-04-13,19:18,Sunday,2025-W15,2025-04,0,0,230,3,8778,233,0.0265,
3611900342616644407,DIgDDmVxts3,https://www.instagram.com/reel/DIgDDmVxts3/,reel,video,,2025-04-16T08:28:14Z,2025-04-16,18:28,Wednesday,2025-W16,2025-04,0,0,73,5,3710,78,0.021,
3613415541496791784,DIlbkpQysLo,https://www.instagram.com/reel/DIlbkpQysLo/,reel,video,,2025-04-18T10:38:40Z,2025-04-18,20:38,Friday,2025-W16,2025-04,0,0,100,1,6395,101,0.0158,
3618409981152215370,DI3LLTqTkFK,https://www.instagram.com/p/DI3LLTqTkFK/,post,image,,2025-04-25T08:01:44Z,2025-04-25,18:01,Friday,2025-W17,2025-04,973,5,86,0,,86,,"There’s no party fancier than a party on a boat!! 😎 MoMU x SSS are collaborating once again to bring you a cruise party even bigger and better than the last one 🤩💫 With tickets sold out in 3 days last year, we hope yall go even harder this time 🕺🪩 The theme this year is ✨GLITZ AND GLAM✨ !! so remember to bring your sparkliest outfit and grooviest dance moves hehe 😛 We’ll be providing good food, good drinks, good music and most importantly good vibes 🤞🏻did we mention there’ll be a photobooth!?! 😍😈 This event is a great opportunity to network and make new friends, Singaporeans and Malaysians alike 🤍  We look forward to seeing you all there!! 🥳🎉   More info regarding the cruise can be found below but SIGN UP QUICK BEFORE TICKETS SELL OUT‼️ LINK IN BIO TO PURCHASE 🔗   Details: 📆 Date: 16th May 2025 🕰️ Time: 6.30 pm 📍 Location: 131 Harbour Esplanade Docklands  🎟️ Price: $40 for MoMU or SSS members / $45 for non members   #melbourneuni #unimelb #momuians #sss #momu"
3619893582645487119,DI8cgjOTOYP,https://www.instagram.com/p/DI8cgjOTOYP/,post,carousel,3,2025-04-27T09:09:23Z,2025-04-27,19:09,Sunday,2025-W17,2025-04,683,6,142,3,,145,,"@momuians are yall missing a taste of home? 🥹🤍 FEAR NOT AS WE GOT U COVERED!  MoMU is back again this year at the UMSUi Night Market with yummiest drinks served only at Tiga’s Kopitiam!! 🐯☕️ This year we are exclusively whipping our five classic msian drinks for u guys to keep your tummies happy 😍🤞🏻  Here’s what’s on our menu 📋  1. Milo Dinosaur 🦖 $5 2. Sparkling Ribena 🍇 $5 3. Sirap Bandung 🍒 $5 + Cincau $1 4. Cham ☕️ $5 5. Teh Ais Limau 🍋‍🟩 $5  📅 Thursday, 1 May 2025 🕰️ 5-10 PM 📍 Concrete Lawn (University Plaza)  🎟️ Grab your free ticket now from @umsuintl ‘s link in bio!  SEE YOU THERE!  #universityofmelbourne #unimelb #malaysiansinmelbourne #nightmarket #kopitiam #foodie"
3620646675808978472,DI_Hvf4ywYo,https://www.instagram.com/reel/DI_Hvf4ywYo/,reel,video,,2025-04-28T10:05:39Z,2025-04-28,20:05,Monday,2025-W18,2025-04,0,0,211,11,16889,222,0.0131,
